company,email,site_url,prefecture,scan_status,track,hp_score,recruit_score,ai_score,recommended_campaign,campaign_evidence,owner_campaign,status,notes,sent_at,send_tier
（株）M-HOUSE,"info@m-house.jp","https://m-house.jp/assessment/form/",神奈川,G1_WEAK,inside,1,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=66",,A
(株)MP,"info@mp-gr.jp","https://www.mp-gr.jp/",神奈川,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruitment/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=61",,A
(株)アーキテックス,"abc@architex.co.jp","https://architex.co.jp/contact/",福岡,G1_WEAK,inside,2,4,1,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=103",,A
(株)エー・エヌ・ホーム,"an@an-home.jp","https://an-home.jp/company-profile/company",福岡,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=19",,A
(株)エースホーム,"info@acehome.net","https://acehome.net/",福岡,G1_WEAK,inside,2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",,pool_skip,"",,hold
(株)サン建築工房,"info@sunken.co.jp","https://www.sunken.co.jp/",福岡,G1_MODERN,inside,0,3,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=99",,A
(株)タカノホーム,"info@takanohome.co.jp","https://www.takanohome.co.jp/toiawase/index.html",福岡,G1_MODERN,inside,0,2,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=128",,A
(株)ベストホーム,"info@e-besthome.jp","https://e-besthome.jp/contact/",福岡,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=57",,A
(株)マツウラ,"info@ma2ura.com","https://ma2ura.com/about/",福岡,G1_WEAK,inside,2,1,2,skip,"全スコア不足(hp=2,recruit=1,ai=2)",,pool_skip,"",,hold
(株)ヤマト建設,"yamatokensetu@wine.ocn.ne.jp","https://www.yamato-kensetu.com/",福岡,G1_WEAK,inside,2,1,2,skip,"全スコア不足(hp=2,recruit=1,ai=2)",,pool_skip,"",,hold
