queue_seq,company,email,url,final_url,prefecture,scan_status,track,hp_score,recruit_score,ai_score,recommended_campaign,campaign_evidence,owner_campaign,send_tier,owner_ok,owner_notes
1,アドバン株式会社,"info@advan-works.jp","http://www.advan-works.jp","https://advan-works.jp/company/",埼玉,G1_WEAK,inside,2,6,4,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2013); 工務店・建設",recruit,S,y,
2,大精建設株式会社,"kk.taisei@usiwakamaru.or.jp","https://taisei1920.co.jp/","https://taisei1920.co.jp/contact/",一宮市,G1_WEAK,inside,1,6,4,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2014); 工務店・建設",recruit,S,y,
3,吉原建設株式会社,"info@ycc-yoshihara.co.jp","https://ycc-yoshihara.co.jp/","https://ycc-yoshihara.co.jp/company/",刈谷市,G1_WEAK,inside,2,6,3,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2018); 工務店・建設",recruit,S,y,
4,建木工務店,"info@tatsuki-k.com","https://tatsuki-k.com/","https://www.tatsuki-k.com/",立川,G1_MODERN,inside,0,6,5,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2018); 工務店・建設",,S,,
5,有限会社福島建設,"info@fukushima-k.jp","https://fukushima-k.jp/","https://fukushima-k.jp/",寄居町,G1_WEAK,inside,3,6,2,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2000); 工務店・建設",,S,,
6,矢島工務店,"info@yajima-k.jp","http://www.yajima-k.jp/","https://www.yajima-k.jp/",三芳,CANDIDATE,inside,7,1,2,hp_improve,"tel:なし; 更新停止感(HTML内2018止); ワンページ構成; httpsサイト内http混在; テンプレート残骸; 英語メニュー; ISO・公共工事・資本金; 粗1点",hp_improve,B,y,buyout paused→信頼設計 inside
7,鐵舟株式会社,"m.koga@tessyu.jp","http://tessyu.jp/","https://tessyu.jp/",久留米,G1_WEAK,inside,2,6,2,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2013); 工務店・建設",recruit,S,y,
8,(株)長崎材木店,"info@nagasakizaimokuten.co.jp","http://www.nagasakizaimokuten.co.jp/","https://www.nagasakizaimokuten.co.jp/",福岡,G1_MODERN,inside,0,4,6,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,S,y,
9,早川木材株式会社,"t_yamada@sample.jp","https://hayakawamokuzai.co.jp/","https://www.hayakawamokuzai.co.jp/inquiry",神奈川,G1_WEAK,inside,2,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
10,木のすまい工房,"nattoku@kinosumaikoubou.com","https://kinosumaikoubou.jp/","https://kinosumaikoubou.jp/",千葉市,G1_MODERN,inside,0,4,6,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",,S,,
11,工藤工務店,"info@kudostyle.jp","https://www.kudostyle.jp/","https://www.kudostyle.jp/",八街市,G1_WEAK,inside,3,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
12,株式会社白石工務店,"siraisi@poem.ocn.ne.jp","https://shiraishik.xsrv.jp/","https://shiraishik.xsrv.jp/company",幸手市,G1_MODERN,inside,0,6,4,recruit,"採用URL:/saiyo; 採用キーワード; 採用ページ更新古い(2019); 工務店・建設",,S,,
13,Ag-工務店,"watanabe@eiji-arch.com","https://eiji-arch.com/","https://eiji-arch.com/contact/",新潟,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
14,西渕工務店,"info@e-nishibuchi.co.jp","https://www.e-nishibuchi.co.jp/","https://www.e-nishibuchi.co.jp/",愛媛,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
15,株式会社イチオリデザインラボ,"info@i-d-l.co.jp","http://i-d-l.co.jp/","https://i-d-l.co.jp/",練馬,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
16,Tamada工房株式会社,"info@tamadakoubou.com","http://tamadakoubou.com/","https://tamadakoubou.com/company/",福山,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
17,ヒノケン株式会社,"sato@hinoken.co.jp","https://hinoken.co.jp/","https://hinoken.co.jp/form/",石巻,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
18,株式会社クリエすずき建設,"crie@crie-s.co.jp","http://www.crie-s.co.jp/","https://www.crie-s.co.jp/contact/",柏,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,A,y,
19,株式会社棟匠,"info@kk-tosho.co.jp","http://www.kk-tosho.co.jp/","https://www.kk-tosho.co.jp/contact/",水戸,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
20,杉林建設株式会社,"yyy@zzz.co.jp","https://www.sugibayashi.co.jp/","https://www.sugibayashi.co.jp/contact",岡崎市,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
21,株式会社日東建設,"info@nitto-kensetsu.co.jp","https://www.nitto-kensetsu.co.jp/","https://www.nitto-kensetsu.co.jp/",名古屋市,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
22,株式会社服部工務店,"hk-kouzi@xpost.plala.or.jp","https://www.hattori-koumuten.net/","https://www.hattori-koumuten.net/about/",春日井市,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
23,横尾建設株式会社,"soumu@yokoo-ke.co.jp","http://www.yokoo-ke.co.jp/","https://www.yokoo-ke.co.jp/",埼玉,G1_MODERN,inside,0,6,3,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2000); 工務店・建設",recruit,S,y,
24,(株)尾山建設,"mail@oyamanoie.com","http://oyamanoie.com/","https://oyamanoie.com/contact/",福岡,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
25,(株)エー・エヌ・ホーム,"an@an-home.jp","http://www.an-home.jp/","https://an-home.jp/company-profile/company",福岡,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
26,(株)日本物産,"info@nihonbussan.co.jp","http://nihonbussan.co.jp","https://www.nihonbussan.co.jp/form/",神奈川,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
