approval_seq,company,url,email,defects,audit_draft,final_url,owner_ok,owner_notes
1,加茂建設株式会社,"http://www.orihime.ne.jp/~kamo/",kamo@orihime.ne.jp,SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.orihime.ne.jp/~kamo/",,
2,株式会社星野工務店,"http://www.hoshinokoumuten.co.jp",info@hoshinokoumuten.co.jp,SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2007止),粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.hoshinokoumuten.co.jp/company.html",,
3,宮川建設株式会社,"http://miyagawa-home.main.jp",miyagawa-co@wind.ocn.ne.jp,viewportなし; tel:なし; 更新停止感(HTML内2015止),粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2015止),"https://miyagawa-home.main.jp/",,
4,八神建築株式会社,"http://yagami-kk.jp",info@yagami-kk.jp,SSL未整備; 更新停止感(HTML内2017止),粗:(1)SSL未整備;(2)更新停止感(HTML内2017止),"http://yagami-kk.jp/",,
5,株式会社高柳組,"http://www.takayanagi.co.jp",info@takayanagi.co.jp,SSL未整備; tel:なし,粗:(1)SSL未整備;(2)tel:なし,"http://www.takayanagi.co.jp/company/",,
6,松本建設株式会社,"http://www.matsuken2581.sakura.ne.jp",kenji-m@car.ocn.ne.jp,SSL未整備; tel:なし; 更新停止感(HTML内2015止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2015止),"http://www.matsuken2581.sakura.ne.jp/",,
7,株式会社笠原工務店,"http://www.kasahara-koumuten.co.jp/",info@kasahara-koumuten.co.jp,viewportなし; tel:なし,粗:(1)viewportなし;(2)tel:なし,"https://www.kasahara-koumuten.co.jp/",,
8,株式会社城南組,"http://www.jonangumi.co.jp/",info@jonangumi.co.jp,SSL未整備; tel:なし; 更新停止感(HTML内2009止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2009止),"http://www.jonangumi.co.jp/company/",,
9,株式会社ハヤタウッドユーホーム,"http://maruka-woodsystems.com/",maruka.woodsystems@gmail.com,SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://maruka-woodsystems.com/",,
10,株式会社国松工務店,"http://www.k-kunimatsu.jp/",kunimatsu@k-kunimatsu.jp,SSL未整備; tel:なし,粗:(1)SSL未整備;(2)tel:なし,"http://www.k-kunimatsu.jp/",,
11,株式会社サントピアホーム,"http://www.suntopiahome.co.jp/",info@www.suntopiahome.co.jp,SSL未整備; tel:なし,粗:(1)SSL未整備;(2)tel:なし,"http://www.suntopiahome.co.jp/contact",,
12,株式会共豊エポック,"http://www.kyoho-epoch.co.jp/",info@kyoho-epoch.co.jp,SSL未整備; 更新停止感(HTML内2017止),粗:(1)SSL未整備;(2)更新停止感(HTML内2017止),"http://www.kyoho-epoch.co.jp/company/",,
13,中田ホームズ有限会社,"http://www.nakata-homes.com/",info@nakata-homes.com,SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.nakata-homes.com/company.html",,
14,(有)内山工務店,"https://www.v-hf.com/k/uchiyama389/",miyazaki@uchiyama-k.co.jp,viewportなし; tel:なし,粗:(1)viewportなし;(2)tel:なし,"https://www.v-hf.com/k/uchiyama389/",,
15,(株)山﨑建設,"http://yamasaki-1972.co.jp/profile/",yamasaki03ys@wind.ocn.ne.jp,SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2011止),粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://yamasaki-1972.co.jp/profile/",,
