company,url,prefecture,source
株式会社あさひほうむ,"http://www.asahihome.jp",青森県,jbn_member
株式会社亜細亜建設,"http://www.asia1995.co.jp",青森県,jbn_member
イシドヤホーム株式会社,"http://ishidoyahome.jp",青森県,jbn_member
株式会社伊藤光建設,"http://www.itomitsu.com",青森県,jbn_member
有限会社大平建設,"http://www.oodaira.jp",青森県,jbn_member
株式会社大室建築,"http://www.oomurokentiku.com",青森県,jbn_member
株式会社長内建築事務所,"http://fp-4sun.jp/",青森県,jbn_member
有限会社小田桐住建,"http://www.teamodagiri.com/",青森県,jbn_member
有限会社かわさき住宅,"http://www.kawasakijyutaku.jp/",青森県,jbn_member
株式会社菊池組,"http://www.kikuchi-gumi.com",青森県,jbn_member
株式会社北三住建,"http://kitami-j.com/top",青森県,jbn_member
株式会社喜多山工務店,"http://www.k-kitayama.com",青森県,jbn_member
株式会社協和,"http://www.kyouwa-home.jp/",青森県,jbn_member
有限会社キーポイントホーム,"http://www.ki-pointhome.com",青森県,jbn_member
株式会社黒田建設,"https://www.kurodakensetsu.co.jp/",青森県,jbn_member
建築工房アルファ株式会社,"http://www.alphahome.info/",青森県,jbn_member
株式会社黄金工務店,"http://www.koganekoumuten.co.jp",青森県,jbn_member
株式会社小嶋建設,"http://kojima-hands.co.jp",青森県,jbn_member
株式会社蹴和建設,"http://www.syuwa-kensetsu.com",青森県,jbn_member
有限会社心工務店,"http://www.shinkoumuten.com",青森県,jbn_member
伊藤建設株式会社,"http://itou-kensetu.jp/",岩手県,jbn_member
有限会社岩手ハウスサービス,"http://www.iwate-house.co.jp/",岩手県,jbn_member
ウチノ建設株式会社,"http://www.uchino-k.jp",岩手県,jbn_member
株式会社エムエスケー,"http://www.msk-to.jp",岩手県,jbn_member
有限会社女澤工務店,"http://www.onnazawa.co.jp/",岩手県,jbn_member
有限会社上遠野工務店,"http://www.kadono-k.com",岩手県,jbn_member
北日本ホーム株式会社,"https://kitanihonhome.com",岩手県,jbn_member
有限会社佐々木建設,"http://www.sasaki-kensetsu.co.jp/",岩手県,jbn_member
三栄工業株式会社,"https://3eiie.com/index.html",岩手県,jbn_member
有限会社田越工務店,"http://www.tagoshi.com/",岩手県,jbn_member
株式会社フリーダムデザイン,"http://www.freedom-design.biz/",岩手県,jbn_member
株式会社北洲,"http://www.hokushu.net",岩手県,jbn_member
株式会社牧野産建,"http://www.makinosanken.com",岩手県,jbn_member
株式会社マルユーホーム,"https://maruyuuhome.com",岩手県,jbn_member
株式会社八重働工務店,"http://www.yaehata.jp/",岩手県,jbn_member
株式会社ゆい工房,"https://www.41-ie.com",岩手県,jbn_member
有限会社アイリュウ住宅,"http://www.airyu.jp",宮城県,jbn_member
共栄ハウジング株式会社,"https://kyouei-housing.jp",宮城県,jbn_member
サン工業株式会社,"http://sunkogyo.com",宮城県,jbn_member
株式会社鈴木工務店,"http://www.suzukiko-muten.co.jp/",宮城県,jbn_member
株式会社センケンホーム,"http://www.senkenhome.jp",宮城県,jbn_member
株式会社高橋工務店,"http://www.daiku-takahashi.jp",宮城県,jbn_member
ヒノケン株式会社,"http://www.hinoken.co.jp",宮城県,jbn_member
モットーキュー株式会社,"http://www.motto-q.co.jp",宮城県,jbn_member
有限会社山田建設,"http://www.lala-home.com/",宮城県,jbn_member
有限会社池田建築店,"https://ikedas16.com",秋田県,jbn_member
有限会社金澤工務店,"https://kanazawa-koumuten.jp/",秋田県,jbn_member
有限会社金森建築,"http://www.kanamori-k.com/",秋田県,jbn_member
株式会社小坂工務店,"http://www.kosaka-arc.jp",秋田県,jbn_member
有限会社サンワホーム,"http://www14.ocn.ne.jp/~wawawa/",秋田県,jbn_member
志村建設株式会社,"http://shimuken.net/",秋田県,jbn_member
長澤工務店株式会社,"https://r.goope.jp/nagakom",秋田県,jbn_member
松谷建築設計,"http://e-matuya.net/",秋田県,jbn_member
有限会社ミサワハウス,"http://misawa-house.sakura.ne.jp/index.html",秋田県,jbn_member
株式会社ヤナギヤ,"http://www.yanagiya-home.com/",秋田県,jbn_member
株式会社Ｅ．Ｌ．ハウス,"https://el-house.net/",山形県,jbn_member
株式会社大沼建築,"http://ohnuma-k.com/",山形県,jbn_member
株式会社加藤住建,"https://kato-juken.jp",山形県,jbn_member
株式会社木づくりの住い結,"http://www.yuihome.jp",山形県,jbn_member
古民家ライフ株式会社,"http://www.kominkalife.com/",山形県,jbn_member
株式会社大永建設,"http://www.daiei-fp.co.jp/company",山形県,jbn_member
有限会社トータルハウジング夢空間,"http://www.th-yume.co.jp/",山形県,jbn_member
株式会社ヒロ・アーキテック,"http://hiro-architec.co.jp/",山形県,jbn_member
株式会社美・中川工務店,"http://www.bi-nakagawa.com/",山形県,jbn_member
有限会社ホンダ工務店,"https://fp-hondakoumuten.jimdo.com/",山形県,jbn_member
有限会社丸晃建設,"https://marukoukensetsu.jp/",山形県,jbn_member
ミユキ・ホーム株式会社,"http://www.miyuki-home.com/",山形県,jbn_member
株式会社ゆとり・祥建設,"https://yutori-sho.co.jp",山形県,jbn_member
会津建設株式会社,"http://www.aizukensetu.co.jp",福島県,jbn_member
株式会社あすかクリーン,"http://asuka-clean.com/",福島県,jbn_member
いわきプレカット協同組合,"http://www17.plala.or.jp/iwakiprecut/",福島県,jbn_member
株式会社後田工務所,"http://www.ushiroda.com/",福島県,jbn_member
株式会社エコデア,"https://ecodea.net",福島県,jbn_member
株式会社エコ・ビレッジ,"http://www.eco-vnet.com",福島県,jbn_member
有限会社江尻建築,"https://ejiken.com/",福島県,jbn_member
株式会社大原工務店,"http://iiie-oohara.com",福島県,jbn_member
株式会社オオバ工務店,"https://www.oba21.com",福島県,jbn_member
株式会社大桃建設工業,"http://www.omomo.co.jp/",福島県,jbn_member
株式会社Ｏｍｎｉｂｕｓ,"https://www.wh-omni.com",福島県,jbn_member
環境建設株式会社,"https://kankyokk.co.jp/",福島県,jbn_member
株式会社カンノ住研,"http://www.kannojuken.com",福島県,jbn_member
株式会社菊地住建,"http://kikujyu.com/",福島県,jbn_member
共力株式会社,"https://www.kinoiekyoriki.com/",福島県,jbn_member
