company,url,prefecture,source
有限会社倉田住建,http://www.kurata-home.jp/,大仙,jyukatsukyo_akita
有限会社ミノル建築,http://minoru-arch.com/,由利本荘,jyukatsukyo_akita
有限会社大建,http://www.daiken1.com/,秋田,jyukatsukyo_akita
協同組合秋田県北木材センター,http://www.kenpoku.or.jp/,大館,jyukatsukyo_akita
北嶋洋一建築設計,http://www.kitazima-kenchiku.com,秋田,jyukatsukyo_akita
インデュアホーム秋田茂木建設株式会社,http://eh-akita.com,秋田,jyukatsukyo_akita
直洋建設株式会社,http://www3.ocn.ne.jp/~chokuyou/,大館,jyukatsukyo_akita
有限会社春和建業,http://www.syunwa.jp,にかほ,jyukatsukyo_akita
有限会社佐々木工務店,http://sasaki-koumuten.fte.jp/,大仙,jyukatsukyo_akita
日天建設株式会社,http://www.hiten-maru.com,仙北,jyukatsukyo_akita
株式会社森川建築事務所,http://morikawa-ie.com,秋田,jyukatsukyo_akita
株式会社マルユーホーム,http://maruyuuhome.co.jp/,盛岡,jyukatsukyo_iwate
有限会社平建設,http://www3.ocn.ne.jp/~taira/,盛岡,jyukatsukyo_iwate
株式会社建築のフジサワ,http://www.kenchikuno-fujisawa.co.jp/,大船渡,jyukatsukyo_iwate
東北ホーム株式会社,http://www.tohoku-h.co.jp/,一関,jyukatsukyo_iwate
黒田工務店,http://kurotakoumuten.web.fc2.com/,大船渡,jyukatsukyo_iwate
タカヒロ建築,http://www2.ocn.ne.jp/~takahiro/index.html,北上市,jyukatsukyo_iwate
有限会社清水建築,http://simizu-k.com,一関,jyukatsukyo_iwate
有限会社及川工務店,http://oikou.jp,一関,jyukatsukyo_iwate
株式会社鈴正,http://suzumasa.cc/,盛岡,jyukatsukyo_iwate
有限会社佐藤工務店,http://e-sato-k.com/,奥州,jyukatsukyo_iwate
株式会社クラフト・ハウス,http://iwate-crafthouse.co.jp,矢巾,jyukatsukyo_iwate
株式会社翼創建,http://tsubasasouken.co.jp/,伊勢崎,jyukatsukyo_gunma
株式会社横山建設,http://yokoken3190.jimdo.com/,安中,jyukatsukyo_gunma
株式会社シマダ工務所,http://www.shimada-k.com,みどり,jyukatsukyo_gunma
株式会社廣神建設,http://www.hirokami.com,高崎,jyukatsukyo_gunma
株式会社広瀬住宅計画,http://hirose-sc.com/,前橋,jyukatsukyo_gunma
角屋工業株式会社,http://www.hobbystyle-kadoya.jp/,沼田,jyukatsukyo_gunma
ファースト住建株式会社,http://www.first-juhken.co.jp,高崎,jyukatsukyo_gunma
株式会社和奏建設,http://www.wakana-k.com,太田,jyukatsukyo_gunma
有限会社安松託建,http://www.yasumatsu.co.jp,前橋,jyukatsukyo_gunma
鵜川興業株式会社,http://www.ugawakougyou.co.jp/,前橋,jyukatsukyo_gunma
株式会社髙藤建設,http://www.takatohome.co.jp,太田,jyukatsukyo_gunma
富士工営株式会社,http://www.fujikohei.jp/,前橋,jyukatsukyo_gunma
