company,url,prefecture,source
株式会社イサカホーム,http://www.isaka-home.co.jp/,水戸,jyukatsukyo_ibaraki2
ニシケンホーム,http://www.nishikenhome.com/,潮来,jyukatsukyo_ibaraki2
アイワ建設株式会社,http://aiwakensetsu.com/,水戸,jyukatsukyo_ibaraki2
株式会社棟匠,http://www.kk-tosho.co.jp/,水戸,jyukatsukyo_ibaraki2
空間建築工房,http://www.sarchitecture.jp,鉾田,jyukatsukyo_ibaraki2
佐藤建設株式会社,http://www.sato-kensetu.com/,牛久,jyukatsukyo_ibaraki2
株式会社オーヌキ,http://www.onuki-wood.com/,東海,jyukatsukyo_ibaraki2
三和建設株式会社,http://yukigunisanwa.com/,喜多方,jyukatsukyo_fukushima2
会津土建株式会社,http://www.adoken.co.jp,会津若松,jyukatsukyo_fukushima2
株式会社ホルツバウ,http://www.holzbau.jp/,会津若松,jyukatsukyo_fukushima2
有限会社大樹ホーム,http://daijyu.exblog.jp,会津若松,jyukatsukyo_fukushima2
