company,url,prefecture,source
株式会社永野ハウス,http://www.hkr.co.jp/naganohouse/,白河,jyukatsukyo_fukushima
株式会社五十嵐建築,http://www.chachakiki.com/,会津若松,jyukatsukyo_fukushima
有限会社小島工務店,http://kojima-ie.com/,会津美里,jyukatsukyo_fukushima
有限会社佐藤建築店,http://skct.jp/,北塩原,jyukatsukyo_fukushima
杉山建築,http://daiku-sugiyama.com/,城里,jyukatsukyo_ibaraki
マミアナ建設株式会社,http://mamianakensetsu.co.jp/,つくばみらい,jyukatsukyo_ibaraki
株式会社カイテキホーム,http://www.kaitekihome.jp/,つくば,jyukatsukyo_ibaraki
株式会社Ｂｅハウス・リモデル,http://www.bemodel.jp/kaisya-gaiyo.html,牛久,jyukatsukyo_ibaraki
株式会社モリハウジング,http://mo-house.com/,日立,jyukatsukyo_ibaraki
とみた建築工房,http://www.studio-depot.net/,水戸,jyukatsukyo_ibaraki
グリーンマーケット株式会社,http://green-market.net/,水戸,jyukatsukyo_ibaraki
株式会社本田谷田部,http://www.honda-yatabe.com/,つくば,jyukatsukyo_ibaraki
株式会社高嶋材木店,http://www.takashima-zaimoku.jp/,取手,jyukatsukyo_ibaraki
やまき家工房,http://www.yamaki-ie.com/,筑西,jyukatsukyo_ibaraki
株式会社平塚建設,http://www.hiratuka-k.co.jp/,鉾田,jyukatsukyo_ibaraki
株式会社ＡＵ建築設計事務所,http://www.uruwashi.co.jp/,ひたちなか,jyukatsukyo_ibaraki
テクノウッドワークス株式会社,http://www.technowoodworks.com/,鹿沼,jyukatsukyo_tochigi
株式会社栃毛木材工業,http://www.tochimou.jp/,鹿沼,jyukatsukyo_tochigi
ハイビック株式会社,http://www.hivic.co.jp/,小山,jyukatsukyo_tochigi
二宮木材株式会社,http://www.ninomiyamokuzai.com/,那須塩原,jyukatsukyo_tochigi
