company,url,prefecture,source
株式会社朝本組,"https://asamoto.co.jp",津島市,aichi_kengiken
山信建設株式会社,"https://yamanobukensetsu.com/",津島市,aichi_kengiken
株式会社石田組,"https://ishidagumi.co.jp",名古屋市,aichi_kengiken
イリヤ建設株式会社,"http://www.iriya-const.co.jp",名古屋市,aichi_kengiken
大井建設株式会社,"http://www.ooi-k.co.jp",名古屋市,aichi_kengiken
株式会社北川組,"http://kitagawa-gumi.co.jp/",名古屋市,aichi_kengiken
株式会社木津工務店,"http://kizukoumuten.jp/",名古屋市,aichi_kengiken
株式会社清水工務店,"http://www1.m1.mediacat.ne.jp/shimizu",名古屋市,aichi_kengiken
株式会社杉本組,"http://www.sugimotogumi.co.jp/",名古屋市,aichi_kengiken
株式会社設幸工務店,"https://www.setsukou.nagoya/",名古屋市,aichi_kengiken
株式会社長瀬組,"http://www.nagasegumi.co.jp/",名古屋市,aichi_kengiken
ニッセツ株式会社,"http://www.nissetsu-co.jp/",名古屋市,aichi_kengiken
株式会社日東建設,"https://www.nitto-kensetsu.co.jp/",名古屋市,aichi_kengiken
株式会社服部工務店,"http://www.hattori-koumuten.com",名古屋市,aichi_kengiken
株式会社原田工務店,"https://www.kk-harada.com",名古屋市,aichi_kengiken
春田建設株式会社,"https://haruta-kk.com/",名古屋市,aichi_kengiken
株式会社マルケイ,"http://www.marukei55.co.jp/",名古屋市,aichi_kengiken
株式会社水野建設,"http://www.mizuno-co.com",名古屋市,aichi_kengiken
株式会社水野工務店,"http://www.mizuno-co.jp",名古屋市,aichi_kengiken
八神建築株式会社,"http://yagami-kk.jp",名古屋市,aichi_kengiken
藏家,"http://www.kura-ya.net/",大阪,jyukatsukyo_osaka
コアテクノス株式会社,"http://www.coretechnos.com/",大阪,jyukatsukyo_osaka
株式会社合田工務店,"http://www.goda-koumuten.com/",京都,jyukatsukyo_kyoto
有限会社増永工務店,"http://www.ttm-plan.com/",京都,jyukatsukyo_kyoto
株式会社城南組,"http://www.jonangumi.co.jp/",京都,jyukatsukyo_kyoto
株式会社新建築,"http://www.new-archi.com/",京都,jyukatsukyo_kyoto
有限会社市川工務店,"http://www.ichikawa-1515.com/",京都,jyukatsukyo_kyoto
有限会社ウェアハウス,"http://www.warehouse-k.jp/",京都,jyukatsukyo_kyoto
有限会社すみれ建築工房,"http://www.sumireco.co.jp/",神戸,jyukatsukyo_hyogo
柳原建設株式会社,"http://www.kh.rim.or.jp/~yanakenn/",神戸,jyukatsukyo_hyogo
株式会社トキタホーム,"http://kobekko.ibis-group.jp/",神戸,jyukatsukyo_hyogo
株式会社正建工業,"http://www.sho-ken.co.jp/",神戸,jyukatsukyo_hyogo
株式会社天竹工務店,"http://amatake.jp/",神戸,jyukatsukyo_hyogo
山の手宮田建築,"http://www.7-yu.net/yamanote/index.html",神戸,jyukatsukyo_hyogo
株式会社石田建築事務所,"http://homepage3.nifty.com/k-ishida-kenchiku/",神戸,jyukatsukyo_hyogo
株式会社セレクトホーム,"http://www.selecthome.co.jp/",神戸,jyukatsukyo_hyogo
共和木材工業株式会社,"http://kyowanoie.com/",大津,jyukatsukyo_shiga
株式会社エーティーエム建築,"http://www.atm-home.co.jp/",奈良,jyukatsukyo_nara
株式会社サントピアホーム,"http://www.suntopiahome.co.jp/",津,jyukatsukyo_mie
株式会社幸三建設,"http://kousankensetsu.com/",津,jyukatsukyo_mie
株式会社いとう建匠,"http://www.sumai-nagomi.com/",名古屋,jyukatsukyo_aichi
角田建築株式会社,"http://www.tsunoken.co.jp/",名古屋,jyukatsukyo_aichi
株式会社ＯＺ工務店,"http://www.ozkoumuten.com/",福岡,jyukatsukyo_fukuoka2
大楠建業,"http://okusu.jp/",北九州,jyukatsukyo_fukuoka2
株式会社智建,"http://www9.plala.or.jp/chiken/",熊本,jyukatsukyo_kumamoto
有限会社川﨑木工,"http://www.homestylezen.com/",熊本,jyukatsukyo_kumamoto
株式会社幸住研,"http://www.miyuki-juken.net/",熊本,jyukatsukyo_kumamoto
株式会社 LIFE WORK,"https://lifework-architect.com/",高松,jyukatsukyo_kagawa
株式会社マリモハウス,"http://www.yurick.co.jp/",高松,jyukatsukyo_kagawa
株式会社意匠計画Horigami,"https://ishou-h.com/",高松,jyukatsukyo_kagawa
third.gear.builders株式会社,"https://third-gear-builders.jp/",山口,jyukatsukyo_yamaguchi
株式会社田村ビルズ,"http://www.tamura-kenzai.co.jp/",山口,jyukatsukyo_yamaguchi
髙山産業株式会社,"https://takayama-ind.co.jp/rhouse-yamaguchi/",山口,jyukatsukyo_yamaguchi
福岡中小建設業協同組合,"https://fukuchukyo.com/",福岡,fbn_member_list
(株)タカノホーム,"http://www.takanohome.co.jp/index.php",福岡,fbn_member_list
健康住宅(株),"http://www.kenkoh-jutaku.co.jp/",福岡,fbn_member_list
エコワークス(株),"http://www.eco-works.jp/",福岡,fbn_member_list
(株)未来工房,"http://www.mirai-kohboh.co.jp",福岡,fbn_member_list
(株)サン建築工房,"http://www.sunken.co.jp/index.html",福岡,fbn_member_list
星和住研(株),"http://www.e-seiwa.net/",福岡,fbn_member_list
(株)雅建設,"http://www.miyabi-con.jp/",福岡,fbn_member_list
(株)三宅建築工房,"http://miyake-koubou.com/",福岡,fbn_member_list
(株)ベストホーム,"http://e-besthome.jp",福岡,fbn_member_list
(株)グリーン企画,"http://www.eco-cure.net/",福岡,fbn_member_list
(株)ハウスランド社,"http://www.h-land.jp/index.html",福岡,fbn_member_list
(株)安成工務店 福岡支店,"https://www.yasunari-komuten.com/",福岡,fbn_member_list
(株)建築工房やました屋,"http://yamashitaya.co.jp",福岡,fbn_member_list
尾塚建設,"http://www.ozuka.jp/会社概要/",福岡,fbn_member_list
(株)オークス建設,"http://www.oaks-cnst.com/index.php",福岡,fbn_member_list
昭和住宅(株),"https://www.showa-j.jp/outline/",福岡,fbn_member_list
(株)Ban建築工房,"http://ban-kenchikukobo.com/",福岡,fbn_member_list
(株)尾山建設,"http://oyamanoie.com/",福岡,fbn_member_list
久留米建設(株),"https://kkcc.jp/",福岡,fbn_member_list
(株)エー・エヌ・ホーム,"http://www.an-home.jp/",福岡,fbn_member_list
(株)平原ホーム,"http://hiraharahome.jp/",福岡,fbn_member_list
(株)アルシスホーム,"http://www.al-fine.jp/",福岡,fbn_member_list
福建住宅(株),"http://ie-daisuki.com/",福岡,fbn_member_list
コスモレーベン(株),"https://kuturogi.jp/",福岡,fbn_member_list
(株)リバティーホーム,"http://libertygroup.jp/",福岡,fbn_member_list
(株)穴井工務店,"http://www.anai.co.jp/",福岡,fbn_member_list
(株)第一双葉,"http://www.d-futaba.co.jp/index.html",福岡,fbn_member_list
(有)建築工房 悠山想,"https://yuuzansou.jp/",福岡,fbn_member_list
(有)タナカ建築企画,"http://tanaka-kenchiku-kikaku.com/",福岡,fbn_member_list
鳥飼建設(株),"https://torikaiken.co.jp/",福岡,fbn_member_list
大庭建設(株),"http://www.oobakensetsu.com/",福岡,fbn_member_list
九州八重洲(株),"http://www.kyushu-yaesu.co.jp/",福岡,fbn_member_list
(株)拓建ホーム,"http://www.takkenhome.net/company.html",福岡,fbn_member_list
