company,url,prefecture,source
うらさわ工務店,"https://www.urasawa-koumuten.com/",大津市,chamber_otsu_research
（株）中川工務店,"http://n-kyoto.co.jp",京都市,chamber_kyoto_kyokenkyo
協栄建設（株）,"http://kyouei-kensetsu.jp",京都市,chamber_kyoto_kyokenkyo
（株）都建設,"http://miyakokensetsu.jp",京都市,chamber_kyoto_kyokenkyo
（株）村井建設,"http://murai-kensetsu.com/",京都市,chamber_kyoto_kyokenkyo
山下建設（株）,"http://www.yam.co.jp/",京都市,chamber_kyoto_kyokenkyo
株式会社石井工務店,"http://www.ishii-builder.co.jp/",大阪市,chamber_osaka_research
株式会社野上工務店,"http://www.nogami-koumuten.co.jp/",大阪市,chamber_osaka_bmall
坂本工務店,"http://www.sakamoto-koumuten.com/",奈良市,chamber_nara_kenchikushi
黒石材工務店,"http://www.kuro-sekizai.com",奈良市,chamber_nara_yeg
心和建設㈱,"https://www.sinwabuilding.com/",奈良市,chamber_nara_yeg
ヤブウチ建設㈱,"https://yabu-ken.co.jp/",奈良市,chamber_nara_yeg
横田工務店,"http://yokotakoumuten.jp/",奈良市,chamber_nara_yeg
森野工務店,"http://morinokoumuten.jp/",和歌山市,chamber_wakayama_pref
アーキテクトSUN-DO,"http://www.architectsun-do.com/",和歌山市,chamber_wakayama_pref
株式会社富士工務店,"http://www.iyashi-take.co.jp/",大阪市,chamber_osaka_bmall
株式会社水野工務店,"http://www.mizuno-koumuten.com/",奈良市,chamber_nara_kenchikushi
（株）菅野建築,"http://www.suganoac.co.jp/",宇都宮市,chamber_utsunomiya_kensetsu
門目建設,"http://www.fp-kadonome.com/",宇都宮市,chamber_utsunomiya_kensetsu
（株）イケダ工務店,"http://kk-ikeda.net/",宇都宮市,chamber_utsunomiya_kensetsu
（株）石川建築社,"https://ishikawa-k.com/",宇都宮市,chamber_utsunomiya_kensetsu
株式会社鴻春工務店,"https://kounoharu-koumuten.co.jp",札幌市,chamber_sapporo_sumai
株式会社道枉建設,"https://www.douou6450.com/",札幌市,chamber_sapporo_sumai
有限会社秀和建設,"http://www.shuwa-kensetsu.co.jp/",札幌市,chamber_sapporo_sumai
パワーホーム青森株式会社,"https://www.ph-aomori.com/",青森市,chamber_aomori
株式会社留場建設,"https://www.tomeba.jp/",盛岡市,chamber_morioka
さいが設計工務,"https://saigasekkei.com/",仙台市,chamber_sendai
株式会社スモリの家,"https://www.sumori-no-ie.com/",仙台市,chamber_sendai
建築工房DADA,"https://www.dada-arc.com/",仙台市,chamber_sendai
株式会社四季工房,"https://www.shiki-koubou.com/",仙台市,chamber_sendai
株式会社千歳建設,"http://www.chitose-kensetsu.co.jp/",山形市,chamber_yamagata
株式会社古俣工務店,"http://www.komata-koumuten.co.jp/",福島市,chamber_fukuken_seinenbu
株式会社斎藤建設工業所,"http://www.saitokensetsu.co.jp/",福島市,chamber_fukuken_seinenbu
株式会社大丸工務店,"http://www.daimaru-k.co.jp/",福島市,chamber_fukushima
東信建設株式会社,"http://www.toshin-kensetsu.com/",福島市,chamber_fukushima
株式会社足利工務店,"http://ashikaga-k.com",秋田市,chamber_akita_city_kk
株式会社伊藤組,"http://itougumi-akita.jp",秋田市,chamber_akita_city_kk
伊藤工業株式会社,"http://www.ito-kogyo.jp",秋田市,chamber_akita_city_kk
株式会社英明工務店,"https://eimei-const.jp",秋田市,chamber_akita_city_kk
株式会社小南工務店,"http://www.kominami-akita.co.jp",秋田市,chamber_akita_city_kk
株式会社アキケン,"https://akiken3e.jp",秋田市,chamber_akita_city_kk
今井工務店,"http://www.imaikoumuten.jp/",新潟市,chamber_kameda_cci
栗田工務店,"http://kurita.net/",新潟市,chamber_kameda_cci
後藤工務所,"http://www.goto-koumusyo.co.jp/",新潟市,chamber_kameda_cci
前田建設株式会社,"http://www.maeda-kensetsu.com/",富山市,chamber_toyama_kensetsu
株式会社平田工務店,"http://www.hirakomu.co.jp/",金沢市,chamber_kanazawa_member
伸恵建設株式会社,"https://www.shineikensetsu.co.jp/",金沢市,chamber_kanazawa_member
株式会社兆建,"https://chouken.co.jp/",金沢市,chamber_kanazawa_member
岸田建設株式会社,"http://www.kishida-kensetsu.jp/",福井市,jyukatsukyo_fukui
株式会社いわほり,"http://iwahori.net/",福井市,jyukatsukyo_fukui
