company,url,prefecture,source
（株）イーハウス・アーキ・コラボレーション,http://www.e-house.gr.jp/,宇都宮市,chamber_utsunomiya_kensetsu
（株）エスホーム,http://www.shome.co.jp/,宇都宮市,chamber_utsunomiya_kensetsu
（株）エバーグリーン,http://www.evergreen.sc/,宇都宮市,chamber_utsunomiya_kensetsu
（株）オースタム,http://www.oustam.com/,宇都宮市,chamber_utsunomiya_kensetsu
（株）カナメ,http://www.caname.net/,宇都宮市,chamber_utsunomiya_kensetsu
（株）テクノホーム,http://www.technohome.co.jp/,宇都宮市,chamber_utsunomiya_kensetsu
（株）菅野建築,http://www.suganoac.co.jp/,宇都宮市,chamber_utsunomiya_kensetsu
門目建設,http://www.fp-kadonome.com/,宇都宮市,chamber_utsunomiya_kensetsu
（株）イケダ工務店,http://kk-ikeda.net/,宇都宮市,chamber_utsunomiya_kensetsu
（株）石川建築社,https://ishikawa-k.com/,宇都宮市,chamber_utsunomiya_kensetsu
㈱Ｋ.Ｂコーポレーション,https://www.kb2006.com/,札幌市,chamber_sapporo_sumai
BLISSTAGE株式会社,http://www.blisstage.jp,札幌市,chamber_sapporo_sumai
GRTUS ARCHITECTS,https://www.gratus-architects.com,札幌市,chamber_sapporo_sumai
アトリエテッラ株式会社,https://atelier-terra.co.jp/,札幌市,chamber_sapporo_sumai
あんしんホーム株式会社,https://www.anshinhome.co.jp,札幌市,chamber_sapporo_sumai
トランス・コンサルティング株式会社,https://trans-con.co.jp,札幌市,chamber_sapporo_sumai
リクラス不動産株式会社,http://www.re-kurasu.co.jp/,札幌市,chamber_sapporo_sumai
株式会社　道新サービスセンター,https://kataduketai.doshin-sc.jp/,札幌市,chamber_sapporo_sumai
株式会社ｆｉｔ　ｈｏｍｅ,https://fithome-estate.com/,札幌市,chamber_sapporo_sumai
株式会社アルクホーム,https://century21-aluc.jp,札幌市,chamber_sapporo_sumai
株式会社鴻春工務店,https://kounoharu-koumuten.co.jp,札幌市,chamber_sapporo_sumai
株式会社道枉建設,https://www.douou6450.com/,札幌市,chamber_sapporo_sumai
有限会社秀和建設,http://www.shuwa-kensetsu.co.jp/,札幌市,chamber_sapporo_sumai
パワーホーム青森株式会社,https://www.ph-aomori.com/,青森市,chamber_aomori
株式会社留場建設,https://www.tomeba.jp/,盛岡市,chamber_morioka
さいが設計工務,https://saigasekkei.com/,仙台市,chamber_sendai
株式会社スモリの家,https://www.sumori-no-ie.com/,仙台市,chamber_sendai
建築工房DADA,https://www.dada-arc.com/,仙台市,chamber_sendai
株式会社四季工房,https://www.shiki-koubou.com/,仙台市,chamber_sendai
株式会社千歳建設,http://www.chitose-kensetsu.co.jp/,山形市,chamber_yamagata
株式会社古俣工務店,http://www.komata-koumuten.co.jp/,福島市,chamber_fukuken_seinenbu
株式会社斎藤建設工業所,http://www.saitokensetsu.co.jp/,福島市,chamber_fukuken_seinenbu
株式会社大丸工務店,http://www.daimaru-k.co.jp/,福島市,chamber_fukushima
東信建設株式会社,http://www.toshin-kensetsu.com/,福島市,chamber_fukushima
株式会社足利工務店,http://ashikaga-k.com,秋田市,chamber_akita_city_kk
株式会社伊藤組,http://itougumi-akita.jp,秋田市,chamber_akita_city_kk
伊藤工業株式会社,http://www.ito-kogyo.jp,秋田市,chamber_akita_city_kk
株式会社英明工務店,https://eimei-const.jp,秋田市,chamber_akita_city_kk
株式会社小南工務店,http://www.kominami-akita.co.jp,秋田市,chamber_akita_city_kk
株式会社アキケン,https://akiken3e.jp,秋田市,chamber_akita_city_kk
株式会社関根工務店,http://www.sekine-koumuten.com/,水戸市,chamber_mito_kensetsu
株式会社根本工務店,http://www.nemoto-koumuten.com/,水戸市,chamber_mito_kensetsu
株式会社田村工務店,http://www.tamurakoumuten.com/,水戸市,chamber_mito_kensetsu
