company,url,prefecture,source
うらさわ工務店,"https://www.urasawa-koumuten.com/",大津市,chamber_otsu_research
（株）中川工務店,"http://n-kyoto.co.jp",京都市,chamber_kyoto_kyokenkyo
協栄建設（株）,"http://kyouei-kensetsu.jp",京都市,chamber_kyoto_kyokenkyo
（株）都建設,"http://miyakokensetsu.jp",京都市,chamber_kyoto_kyokenkyo
（株）村井建設,"http://murai-kensetsu.com/",京都市,chamber_kyoto_kyokenkyo
山下建設（株）,"http://www.yam.co.jp/",京都市,chamber_kyoto_kyokenkyo
株式会社石井工務店,"http://www.ishii-builder.co.jp/",大阪市,chamber_osaka_research
株式会社野上工務店,"http://www.nogami-koumuten.co.jp/",大阪市,chamber_osaka_bmall
坂本工務店,"http://www.sakamoto-koumuten.com/",奈良市,chamber_nara_kenchikushi
黒石材工務店,"http://www.kuro-sekizai.com",奈良市,chamber_nara_yeg
心和建設㈱,"https://www.sinwabuilding.com/",奈良市,chamber_nara_yeg
ヤブウチ建設㈱,"https://yabu-ken.co.jp/",奈良市,chamber_nara_yeg
横田工務店,"http://yokotakoumuten.jp/",奈良市,chamber_nara_yeg
森野工務店,"http://morinokoumuten.jp/",和歌山市,chamber_wakayama_pref
アーキテクトSUN-DO,"http://www.architectsun-do.com/",和歌山市,chamber_wakayama_pref
株式会社富士工務店,"http://www.iyashi-take.co.jp/",大阪市,chamber_osaka_bmall
株式会社水野工務店,"http://www.mizuno-koumuten.com/",奈良市,chamber_nara_kenchikushi
