pref,city,tier,kanto_phase1
北海道,札幌市,seirei,n
青森県,青森市,shicho,n
岩手県,盛岡市,shicho,n
宮城県,仙台市,seirei,n
秋田県,秋田市,shicho,n
山形県,山形市,shicho,n
福島県,福島市,shicho,n
茨城県,水戸市,shicho,n
栃木県,宇都宮市,shicho,n
群馬県,前橋市,shicho,n
埼玉県,さいたま市,seirei,y
千葉県,千葉市,seirei,y
東京都,23区+都下,phase1,y
神奈川県,横浜市,seirei,y
神奈川県,川崎市,seirei,y
神奈川県,相模原市,seirei,y
新潟県,新潟市,seirei,n
富山県,富山市,shicho,n
石川県,金沢市,shicho,n
福井県,福井市,shicho,n
山梨県,甲府市,shicho,n
長野県,長野市,shicho,n
岐阜県,岐阜市,shicho,n
静岡県,静岡市,seirei,n
静岡県,浜松市,seirei,n
愛知県,名古屋市,seirei,n
三重県,津市,shicho,n
滋賀県,大津市,shicho,n
京都府,京都市,seirei,n
大阪府,大阪市,seirei,n
大阪府,堺市,seirei,n
兵庫県,神戸市,seirei,n
奈良県,奈良市,shicho,n
和歌山県,和歌山市,shicho,n
鳥取県,鳥取市,shicho,n
島根県,松江市,shicho,n
岡山県,岡山市,seirei,n
広島県,広島市,seirei,n
山口県,山口市,shicho,n
徳島県,徳島市,shicho,n
香川県,高松市,shicho,n
愛媛県,松山市,shicho,n
高知県,高知市,shicho,n
福岡県,福岡市,seirei,n
福岡県,北九州市,seirei,n
佐賀県,佐賀市,shicho,n
長崎県,長崎市,shicho,n
熊本県,熊本市,seirei,n
大分県,大分市,shicho,n
宮崎県,宮崎市,shicho,n
鹿児島県,鹿児島市,shicho,n
沖縄県,那覇市,shicho,n
