company,url,prefecture,source
有限会社遠藤工務店,http://www.endo-koumuten.co.jp/,魚沼,tokamachi_official_pdf
有限会社星建工務店,http://www.hoshiken-koumuten.co.jp/,魚沼,tokamachi_official_pdf
株式会社桑原工務店,http://www.kuwakou.co.jp/,津南,tokamachi_official_pdf
株式会社カネタケ建設,http://www.kanetake-kensetu.com/,十日町,tokamachi_official_pdf
有限会社長谷川材木店,http://www.lumber-h.com/,出雲崎,tokamachi_official_pdf
有限会社アクトホーム,http://akutohome.com/index.html,小千谷,tokamachi_official_pdf
有限会社アーキ・ライズ,http://www.archi-rise.co.jp/,柏崎,tokamachi_official_pdf
東北工業株式会社,http://www.tohoku-kogyo.co.jp/,柏崎,tokamachi_official_pdf
有限会社宮嶋木材,http://www.miyajima-moku.jp/,柏崎,tokamachi_official_pdf
石田建築,http://www.isi-ken.jp/,新発田,tokamachi_official_pdf
有限会社住宅環境,http://www.jyuutaku-kankyou.com/,新発田,tokamachi_official_pdf
株式会社田代建築事務所,http://www.tashiro-kentiku-jimusho.info/,新発田,tokamachi_official_pdf
佐藤建築設計事務所,http://satoarc.com/,十日町,tokamachi_official_pdf
株式会社高橋木工所,http://www.takamoku.com/,津南,tokamachi_official_pdf
だいくのハットリ,http://daikunohattori.com/,燕,tokamachi_official_pdf
株式会社笠原建設,http://www.rs-knj.com/,新潟,tokamachi_official_pdf
株式会社かわさき組,http://www.archi-kawasaki.com/,新潟,tokamachi_official_pdf
